personId,season_year,personName,position,games_played,minutes_float,fieldGoalsMade,fieldGoalsAttempted,threePointersMade,threePointersAttempted,freeThrowsMade,freeThrowsAttempted,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints,fg_percentage,three_pt_percentage,ft_percentage,avg_minutes,avg_points,avg_rebounds,avg_assists,avg_steals,avg_blocks,avg_turnovers,avg_fouls
255,2010-11,Grant Hill,F,80,2408.9,399,825,45,114,213,257,77,261,338,200,64,35,134,184,1056,49,0.48363636363636364,0.39473684210526316,0.8287937743190662,30.111250000000002,13.2,4.225,2.5,0.8,0.4375,1.675,2.3
255,2011-12,Grant Hill,F,49,1377.7166666666667,201,451,14,53,83,109,29,142,171,107,41,29,65,88,499,109,0.44567627494456763,0.2641509433962264,0.7614678899082569,28.116666666666667,10.183673469387756,3.489795918367347,2.183673469387755,0.8367346938775511,0.5918367346938775,1.3265306122448979,1.7959183673469388
255,2012-13,Grant Hill,N/A,29,436.68333333333334,38,98,3,11,14,24,6,43,49,26,11,7,25,39,93,1,0.3877551020408163,0.2727272727272727,0.5833333333333334,15.058045977011494,3.206896551724138,1.6896551724137931,0.896551724137931,0.3793103448275862,0.2413793103448276,0.8620689655172413,1.3448275862068966
406,2010-11,Shaquille O'Neal,C,37,751.6,134,201,0,0,73,131,48,130,178,26,16,42,56,120,341,193,0.6666666666666666,0.0,0.5572519083969466,20.313513513513513,9.216216216216216,4.8108108108108105,0.7027027027027027,0.43243243243243246,1.135135135135135,1.5135135135135136,3.2432432432432434
436,2010-11,Juwan Howard,N/A,57,591.55,55,125,0,0,29,35,36,86,122,23,10,4,25,61,139,20,0.44,0.0,0.8285714285714286,10.378070175438596,2.43859649122807,2.1403508771929824,0.40350877192982454,0.17543859649122806,0.07017543859649122,0.43859649122807015,1.0701754385964912
436,2011-12,Juwan Howard,N/A,28,190.21666666666667,17,55,0,0,8,10,18,29,47,10,4,1,20,18,42,-48,0.3090909090909091,0.0,0.8,6.793452380952381,1.5,1.6785714285714286,0.35714285714285715,0.14285714285714285,0.03571428571428571,0.7142857142857143,0.6428571428571429
436,2012-13,Juwan Howard,F,7,50.666666666666664,10,19,0,0,1,1,0,8,8,6,0,0,4,9,21,-13,0.5263157894736842,0.0,1.0,7.238095238095238,3.0,1.1428571428571428,0.8571428571428571,0.0,0.0,0.5714285714285714,1.2857142857142858
467,2010-11,Jason Kidd,G,80,2652.8333333333335,215,596,133,391,67,77,35,316,351,655,134,29,179,119,630,171,0.36073825503355705,0.340153452685422,0.8701298701298701,33.16041666666667,7.875,4.3875,8.1875,1.675,0.3625,2.2375,1.4875
467,2011-12,Jason Kidd,G,48,1379.0333333333333,99,273,79,223,22,28,15,183,198,264,82,10,91,83,299,66,0.3626373626373626,0.3542600896860987,0.7857142857142857,28.72986111111111,6.229166666666667,4.125,5.5,1.7083333333333333,0.20833333333333334,1.8958333333333333,1.7291666666666667
467,2012-13,Jason Kidd,G,76,2042.6,152,409,114,325,40,48,50,273,323,249,125,25,76,125,458,188,0.37163814180929094,0.3507692307692308,0.8333333333333334,26.876315789473683,6.026315789473684,4.25,3.276315789473684,1.644736842105263,0.32894736842105265,1.0,1.644736842105263
686,2010-11,Antonio McDyess,C/F,73,1386.5166666666667,169,344,0,1,52,77,122,273,395,84,36,39,72,163,390,134,0.49127906976744184,0.0,0.6753246753246753,18.99337899543379,5.342465753424658,5.410958904109589,1.1506849315068493,0.4931506849315068,0.5342465753424658,0.9863013698630136,2.232876712328767
